082-S-4489-E-LM  AV45,1
082-S-5014-01-E  AV45,1
082-S-5279-E-LM  AV45,1
082_S_2121_E1 AV45,1
082_S_4244_E1  FDG,1
11C-PIB dynamic: ROI atten corr,1
12 4i/16s,1
127-S-1382 PIB,1
127_S_0259 fdg,1
127_S_0259 pib PIB,1
127_S_0754 fdg,1
127_S_0754 pib PIB,1
127_S_1419 FDG,1
127_S_1419 PIB,1
127_S_1427 FDG,1
127_S_1427 PIB,1
20 MIN 3D - Iter(Brain Mode AV45,1
20 MIN EMMI - Iter(Brain Mo AV45,1
20 min 3D AV45 4i/16s,1
20 min 3D FDG  4i/16s  AV45,1
20 min 3D PIB  - Iter(Brain Mod,1
20 min dynamic - Iter Early AV45,1
20081017141306.,1
20081024075053.,1
20081024092208.,1
256X256_4I_24S_6X5 FDG,1
2nd adni recon,1
30 Min 3D FDG 6i/16s,1
30 min 3D FDG  4i/16s ,1
30 min 3D FDG Seg- Iter(Brain M,1
30min 3D FDG,1
30min 3D FDG - Iter(Brain Mode),1
30min Stat FDG - Iter(Brain Mod,1
3D ADNI PIB / STUDY #1,1
3D BRAIN,1
3D BRAIN ADNI PIB,1
3D BRAIN ADNI-2 ITERATIVE-AV45,1
3D BRAIN ADNI-2_INTERATIVE_AV45,1
3D BRAIN ADNI-2_ITERATIVE_AV45,1
3D BRAIN AV-45 FORE / STUDY #2 AV45,1
3D BRAIN FDG / FORE / STUDY #1,1
3D Em Baseline 6i/16s,1
3D Emission #3,1
3D Emission 12 mo 6i/16s,1
3D Emission 12mo 6i/16s,1
3D Emission 24mo 6i/16s,1
3D Neuro Dyna 6i/16s,1
3D PET BRAIN ADNI-2  AV45,1
3D PET BRAIN ADNI-2 FDG I,1
3D PET BRAIN ADNI-2 FDG I 20/4,1
3D PET BRAIN ADNI-2AV45,1
3DFDG-BRAINSCAN-DYNAMICEMISSION,1
3D_AC IR AV45,1
3D_ADNI IT FDG,1
3D_ADNI it AV45,1
3D_Brain FDG,1
3D_Brain IR  FDG,1
3D_Brain_ADNI,1
3D_FBP RECON AV45,1
3D_IT  AV45,1
3D_IT  FDG,1
3D_IT3 AV45,1
3D_IT3 FDG,1
3D_it  AV45,1
4x5minute frames - Iterativ AV45,1
70 min 3D PIB  4i/16s,1
90 min dynamic - Iter(Brain  PIB,1
90 min dynamic 4i/16s  PIB,1
ADNI (AC),1
ADNI 11C-PIB 0112,1
ADNI 11C-PIB 1032,1
ADNI AV45 Brain_20min dyn400,1
ADNI AV45 STATIC 4X5,1
ADNI BRAIN (6x5)  RAMP,1
ADNI BRAIN (AC),1
ADNI BRAIN 6X5,1
ADNI BRAIN FDG,1
ADNI BRAIN FDG 1,1
ADNI BRAIN FDG 2ND 15MIN,1
ADNI BRAIN no T+E,1
ADNI C-11 Brain (6x5)  PIB,1
ADNI C-11 Static Brain (4x5),1
ADNI C-11 Static Brain (6x5),1
ADNI C-11 Static Brain (6x5) PIB,1
ADNI C11 Brain (4x5),1
ADNI C11 Brain(4 Fr x 5min)  PIB,1
ADNI C11 PIB Static Brain (4x5),1
